mode,name,bigram,bigram_runtime,trigram,trigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,workforce_emd,workforce_emd_runtime,workforce_wass,workforce_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime,run
central_baseline,run_01/simulated_logs/simulated_central_baseline.csv,0.027048216385731086,0.11299824714660645,0.03612767450017538,0.1083688735961914,538.5477141588992,4.058694124221802,541.4439815141001,0.006987094879150391,537.3166666666667,0.6715419292449951,537.3166666666667,0.017960071563720703,8.568483256129644,0.06955385208129883,9.552533826310876,0.012047052383422852,8.677114307342288,0.11148476600646973,9.482536745460978,0.055692195892333984,3.036617842876165,0.05847907066345215,3.0487891546018293,0.04442310333251953,59.79666666666665,0.03153109550476074,1
agent_profile,run_01/simulated_logs/simulated_agent_profile.csv,0.027048216385731086,0.10779595375061035,0.03612767450017538,0.12119388580322266,539.3439857967153,2.5015039443969727,542.2411230951982,0.00670623779296875,537.3166666666667,0.654994010925293,537.3166666666667,0.01764512062072754,8.932336687681172,0.08645510673522949,9.829905089801995,0.011703014373779297,8.7952767784277,0.11844491958618164,9.74355680065031,0.05776405334472656,2.233688415446072,0.07441186904907227,2.2444316623830636,0.045751094818115234,44.116666666666646,0.031209230422973633,1
llm_agent_proxy,run_01/simulated_logs/simulated_llm_agent_proxy.csv,0.027048216385731086,0.10626006126403809,0.03612767450017538,0.10840106010437012,540.0719041278296,2.5571088790893555,542.9709013050531,0.007075786590576172,537.3166666666667,0.6803410053253174,537.3166666666667,0.018318891525268555,8.636275594875206,0.06987905502319336,9.60779500715079,0.011601924896240234,8.521327517346341,0.11292004585266113,9.48818884486917,0.07569479942321777,1.3921438082556592,0.057944297790527344,1.4013903106711918,0.04539799690246582,27.29333333333332,0.031038999557495117,1
central_baseline,run_02/simulated_logs/simulated_central_baseline.csv,0.029076620825147347,0.10882091522216797,0.044639718804920916,0.10693979263305664,487.0108743897026,3.12861704826355,498.30257843265053,0.006703853607177734,491.17,0.7138149738311768,491.1700000000001,0.017600059509277344,9.125123406026244,0.07505989074707031,10.0193290550165,0.011487960815429688,9.273740127544505,0.11266398429870605,9.971455146000824,0.05666160583496094,3.205281846426986,0.07489418983459473,3.2554346154662706,0.04396820068359375,59.97666666666666,0.031213045120239258,2
agent_profile,run_02/simulated_logs/simulated_agent_profile.csv,0.029076620825147347,0.10739874839782715,0.044639718804920916,0.10722875595092773,486.71549045716824,3.0727617740631104,498.00508178535506,0.0064849853515625,491.17,0.7236883640289307,491.1700000000001,0.017648935317993164,9.098605622948593,0.06913208961486816,9.965123964982256,0.01257181167602539,9.165853264148241,0.11331701278686523,9.875756792155055,0.06930422782897949,3.488681757656458,0.08074283599853516,3.5408615265078427,0.047270774841308594,71.93666666666668,0.032337188720703125,2
llm_agent_proxy,run_02/simulated_logs/simulated_llm_agent_proxy.csv,0.029076620825147347,0.1082768440246582,0.044639718804920916,0.10719895362854004,487.40368397691964,3.0916810035705566,498.69819756541756,0.006865978240966797,491.17,0.7384569644927979,491.1700000000001,0.017783164978027344,9.295029867893534,0.07255196571350098,10.182670507376374,0.011384963989257812,9.36036402867425,0.1134958267211914,10.073892450569167,0.058054208755493164,2.8038171327119397,0.05909919738769531,2.851098450960236,0.06307101249694824,60.10333333333334,0.031803131103515625,2
central_baseline,run_03/simulated_logs/simulated_central_baseline.csv,0.038650186384147536,0.10820198059082031,0.06055818852027383,0.10706305503845215,418.8268974700402,3.16094708442688,424.886428018732,0.006996870040893555,415.4433333333333,0.7134397029876709,415.4433333333334,0.018284082412719727,8.546731830855219,0.06959295272827148,9.723810700150832,0.01170802116394043,8.71344135050491,0.10904288291931152,9.69378674542044,0.05811905860900879,3.123169107856192,0.05647158622741699,3.1509627092575316,0.06180572509765625,55.533333333333296,0.031116008758544922,3
agent_profile,run_03/simulated_logs/simulated_agent_profile.csv,0.038650186384147536,0.1071159839630127,0.06055818852027383,0.10657191276550293,419.1340434975588,3.0972540378570557,425.1948059153452,0.006963968276977539,415.4433333333333,0.7323782444000244,415.4433333333334,0.017845630645751953,8.656684570441426,0.07421994209289551,9.813569178395753,0.011741876602172852,8.915848439804735,0.11285519599914551,9.746437372012574,0.05734610557556152,2.818908122503329,0.059018850326538086,2.8454814258350716,0.062068939208984375,54.34000000000003,0.0317990779876709,3
llm_agent_proxy,run_03/simulated_logs/simulated_llm_agent_proxy.csv,0.038650186384147536,0.10836291313171387,0.06055818852027383,0.10784316062927246,417.90257434531736,2.918215274810791,423.9583977157017,0.006640195846557617,415.4433333333333,0.7261741161346436,415.4433333333334,0.017657756805419922,8.704829280605681,0.06981873512268066,9.788691582668225,0.012358903884887695,8.74677893872688,0.11078023910522461,9.763580793971748,0.0573430061340332,4.038171327119397,0.058773040771484375,4.069634723517782,0.06230306625366211,80.16333333333333,0.03149533271789551,3
central_baseline,run_04/simulated_logs/simulated_central_baseline.csv,0.012900703674745896,0.10706710815429688,0.027641707487753672,0.10704803466796875,524.6433644030182,2.9364888668060303,526.8082669368616,0.006838083267211914,525.0566666666666,0.6465940475463867,525.0566666666667,0.01824212074279785,8.7170721385357,0.07215690612792969,9.416774161219449,0.011942148208618164,8.471702281866387,0.1286160945892334,9.380961209177565,0.057190895080566406,2.713936972924989,0.057962894439697266,3.11685063113178,0.04501199722290039,57.44,0.031553030014038086,4
agent_profile,run_04/simulated_logs/simulated_agent_profile.csv,0.012900703674745896,0.1211709976196289,0.027641707487753672,0.1069037914276123,524.8182423435419,2.705034017562866,526.9805770829643,0.006936073303222656,525.0566666666666,0.6445918083190918,525.0566666666667,0.01784515380859375,8.773837738925975,0.07117390632629395,9.369691472555502,0.011501073837280273,8.422596599844452,0.11121106147766113,9.32985711496564,0.06911802291870117,2.5725699067909455,0.06026601791381836,2.9484900478352714,0.044158935546875,59.469999999999956,0.03126883506774902,4
llm_agent_proxy,run_04/simulated_logs/simulated_llm_agent_proxy.csv,0.012900703674745896,0.1053612232208252,0.027641707487753672,0.11904430389404297,525.9553928095872,2.662067174911499,528.1179385898588,0.006776094436645508,525.0566666666666,0.5910170078277588,525.0566666666667,0.03293800354003906,8.58588937607226,0.07274985313415527,9.240533096012166,0.011382818222045898,8.18254169281664,0.12012124061584473,9.24326689021823,0.07023000717163086,1.4873501997336884,0.05980992317199707,1.8172483332970488,0.04553580284118652,31.380000000000003,0.03110194206237793,4
central_baseline,run_05/simulated_logs/simulated_central_baseline.csv,0.04810324599139617,0.10936403274536133,0.05985299264963248,0.10824227333068848,550.0727918331114,2.8919079303741455,551.7129528803603,0.006564140319824219,554.7766666666666,0.6798169612884521,554.7766666666666,0.017698049545288086,8.868739089284471,0.07433080673217773,9.553330573955538,0.012972116470336914,8.57984797755576,0.11106371879577637,9.6017576976551,0.0580449104309082,3.365068797159343,0.0588679313659668,3.7678223717828305,0.06223583221435547,76.28333333333336,0.03142905235290527,5
agent_profile,run_05/simulated_logs/simulated_agent_profile.csv,0.04810324599139617,0.1073148250579834,0.05985299264963248,0.10769200325012207,550.458499778074,2.6389317512512207,552.0716283149325,0.007082939147949219,554.7766666666666,0.6902530193328857,554.7766666666666,0.0177609920501709,8.962381432661449,0.07194209098815918,9.721061554619153,0.011871099472045898,8.776805258929018,0.13422393798828125,9.731389448626135,0.05876588821411133,2.982467820683533,0.061682939529418945,3.4246114031848616,0.046189069747924805,76.22333333333333,0.0315852165222168,5
llm_agent_proxy,run_05/simulated_logs/simulated_llm_agent_proxy.csv,0.04810324599139617,0.12430286407470703,0.05985299264963248,0.10808706283569336,550.1708832667553,2.764848232269287,551.803399585358,0.00728297233581543,554.7766666666666,0.700221061706543,554.7766666666666,0.01781606674194336,8.911437158242148,0.07161903381347656,9.58698544260062,0.011690139770507812,8.499641701911283,0.11297178268432617,9.653886643051887,0.07500696182250977,3.3823790501553486,0.06086897850036621,3.6871058746576626,0.04567098617553711,67.43000000000002,0.031558990478515625,5
central_baseline,run_06/simulated_logs/simulated_central_baseline.csv,0.03850687622789784,0.10938596725463867,0.05272407732864675,0.10771775245666504,701.4558366622282,2.67704701423645,714.2579825518492,0.006829023361206055,710.5366666666666,0.6977899074554443,710.5366666666666,0.018243074417114258,8.409575575625169,0.06710195541381836,9.253625505318208,0.011750936508178711,8.227560070362376,0.11226701736450195,9.261581273385463,0.06034517288208008,3.4427430093209055,0.05854392051696777,3.4945942042011833,0.06228780746459961,61.42999999999999,0.031484127044677734,6
agent_profile,run_06/simulated_logs/simulated_agent_profile.csv,0.03850687622789784,0.1074073314666748,0.05272407732864675,0.10760307312011719,701.974034620506,2.5121190547943115,714.7798868880136,0.006731986999511719,710.5366666666666,0.6700301170349121,710.5366666666666,0.017557144165039062,8.28970167959282,0.08372712135314941,9.107473631857031,0.01129007339477539,7.967825734275766,0.10853195190429688,9.129325501454218,0.07605600357055664,2.5443852640923215,0.05855369567871094,2.589811012426483,0.04603123664855957,58.18999999999996,0.03171706199645996,6
llm_agent_proxy,run_06/simulated_logs/simulated_llm_agent_proxy.csv,0.03850687622789784,0.10908699035644531,0.05272407732864675,0.10746598243713379,701.9806924101198,2.7123749256134033,714.7869859508835,0.006392002105712891,710.5366666666666,0.7004790306091309,710.5366666666666,0.018146753311157227,8.367038266929033,0.0729069709777832,9.120290181939156,0.011601924896240234,8.08344175540933,0.13149309158325195,9.194552691903418,0.06041598320007324,2.873058144695961,0.05720686912536621,2.9208347048717234,0.06059885025024414,59.37333333333334,0.03130507469177246,6
central_baseline,run_07/simulated_logs/simulated_central_baseline.csv,0.04004734661668968,0.11101794242858887,0.06367966131592874,0.10848379135131836,299.0295162006214,2.7674617767333984,321.8768917816758,0.006977081298828125,321.75,0.6873910427093506,321.75,0.018302202224731445,8.617145763860481,0.07368278503417969,9.70284318536326,0.01220393180847168,8.756984849141599,0.11053705215454102,9.71579007704029,0.05825185775756836,3.4072347980470483,0.0756380558013916,3.5276841067105096,0.04532003402709961,75.68666666666672,0.03179001808166504,7
agent_profile,run_07/simulated_logs/simulated_agent_profile.csv,0.04004734661668968,0.10846209526062012,0.06367966131592874,0.10811591148376465,299.3311140701287,2.9601829051971436,322.17806172195594,0.006969928741455078,321.75,0.6864991188049316,321.75,0.01813817024230957,8.57137698835619,0.0702810287475586,9.658837764258141,0.011604070663452148,9.094790980905916,0.11154723167419434,9.643104115880908,0.07380318641662598,3.5994229915668,0.061000823974609375,3.7230812186238653,0.04588794708251953,68.35666666666668,0.03234982490539551,7
llm_agent_proxy,run_07/simulated_logs/simulated_llm_agent_proxy.csv,0.04004734661668968,0.10883307456970215,0.06367966131592874,0.10921382904052734,299.2623169107856,3.2217659950256348,322.1028911912075,0.00668787956237793,321.75,0.6822919845581055,321.75,0.018292903900146484,8.663262428172052,0.07192492485046387,9.693860179297195,0.012357950210571289,8.873619203942214,0.1308600902557373,9.679052743949702,0.05846285820007324,3.853750554815801,0.05811285972595215,3.9816552258440825,0.046056270599365234,77.95333333333336,0.032198190689086914,7
central_baseline,run_08/simulated_logs/simulated_central_baseline.csv,0.03577712609970674,0.1103971004486084,0.052668416447944004,0.10898184776306152,528.7652019529517,2.8573739528656006,530.6313753780695,0.00719904899597168,529.3433333333334,0.7040920257568359,529.3433333333334,0.017830848693847656,8.838660957099673,0.07272911071777344,9.725812453528375,0.011368274688720703,8.752053691859087,0.1133260726928711,9.682243827814506,0.05976510047912598,3.001553484243231,0.05730295181274414,3.386268647403226,0.06221604347229004,67.11000000000001,0.03184008598327637,8
agent_profile,run_08/simulated_logs/simulated_agent_profile.csv,0.03577712609970674,0.10865473747253418,0.052668416447944004,0.10961580276489258,527.9849090102086,2.878434181213379,529.8509332090075,0.006974935531616211,529.3433333333334,0.7180542945861816,529.3433333333334,0.017802000045776367,8.796691761865128,0.07543015480041504,9.784761490227377,0.011807918548583984,8.832810935193088,0.11117911338806152,9.742969610218312,0.05913114547729492,3.7982689747003993,0.05836892127990723,4.125437524503141,0.06341814994812012,75.64000000000001,0.032002925872802734,8
llm_agent_proxy,run_08/simulated_logs/simulated_llm_agent_proxy.csv,0.03577712609970674,0.10873794555664062,0.052668416447944004,0.10959291458129883,529.0350643586329,2.7902579307556152,530.881682954999,0.006945133209228516,529.3433333333334,0.7378380298614502,529.3433333333334,0.017744779586791992,8.747950985268137,0.0740499496459961,9.671377741972101,0.012319803237915039,8.699960063553327,0.11683917045593262,9.612914727258818,0.06051182746887207,2.7987128273413227,0.07690024375915527,3.1307425642909363,0.045941829681396484,49.45000000000002,0.03203296661376953,8
central_baseline,run_09/simulated_logs/simulated_central_baseline.csv,0.03553897506381307,0.10885500907897949,0.0472510100122958,0.10944294929504395,609.8335552596544,2.718351125717163,619.7091912172659,0.007012128829956055,621.4933333333333,0.7511999607086182,621.4933333333333,0.017580032348632812,8.578198908012949,0.0703728199005127,9.684708830378101,0.012380123138427734,8.696339166268505,0.7026071548461914,9.628610745021302,0.05843400955200195,3.523746116289392,0.08811187744140625,3.566288896550629,0.04652118682861328,57.09333333333332,0.031935930252075195,9
agent_profile,run_09/simulated_logs/simulated_agent_profile.csv,0.03553897506381307,0.10923504829406738,0.0472510100122958,0.10790491104125977,611.1373723923657,2.465402841567993,621.020629240378,0.006693840026855469,621.4933333333333,0.7139227390289307,621.4933333333333,0.01770496368408203,8.556462016173928,0.06780886650085449,9.709343292515337,0.011291027069091797,8.728693959996871,0.1064298152923584,9.579985022437826,0.059976816177368164,2.2050599201065246,0.05703306198120117,2.2399496108363466,0.06138491630554199,49.15000000000002,0.031729936599731445,9
llm_agent_proxy,run_09/simulated_logs/simulated_llm_agent_proxy.csv,0.03553897506381307,0.10914182662963867,0.0472510100122958,0.10934209823608398,610.9252108300044,2.4811110496520996,620.8071822886943,0.006891012191772461,621.4933333333333,0.713001012802124,621.4933333333333,0.018149852752685547,8.619949572523591,0.06652593612670898,9.716236135919239,0.011277914047241211,8.61045522097195,0.10766100883483887,9.651581209361881,0.07323884963989258,2.4269862405681315,0.05784106254577637,2.4631638965506326,0.04454684257507324,46.72333333333336,0.031063079833984375,9
central_baseline,run_10/simulated_logs/simulated_central_baseline.csv,0.03234659870613605,0.10764527320861816,0.05279775477986318,0.1067819595336914,706.3439857967155,1.9635798931121826,710.3389354921,0.006497859954833984,706.8733333333333,0.7132632732391357,706.8733333333334,0.01806497573852539,8.358500160492804,0.06695413589477539,9.25423526451302,0.011560916900634766,8.018292360022391,0.12417364120483398,9.258582326368089,0.05878400802612305,2.733688415446072,0.056205034255981445,2.7482355475419875,0.04524803161621094,46.3766666666667,0.03074026107788086,10
agent_profile,run_10/simulated_logs/simulated_agent_profile.csv,0.03234659870613605,0.12243819236755371,0.05279775477986318,0.10668325424194336,706.0947625388371,2.048334836959839,710.091290695048,0.00720524787902832,706.8733333333333,0.7068338394165039,706.8733333333334,0.01756763458251953,8.570456274293448,0.06754803657531738,9.451302108019108,0.01163482666015625,8.15288837783422,0.1282360553741455,9.450149681958223,0.058873891830444336,2.95162006213937,0.056876182556152344,2.9666519176487505,0.06232333183288574,57.06333333333335,0.03205299377441406,10
llm_agent_proxy,run_10/simulated_logs/simulated_llm_agent_proxy.csv,0.03234659870613605,0.10986900329589844,0.05279775477986318,0.10936093330383301,705.5958721704394,2.314681053161621,709.5926694419305,0.006957054138183594,706.8733333333333,0.6940608024597168,706.8733333333334,0.01800704002380371,8.393037802781967,0.0749349594116211,9.280343926827639,0.011661767959594727,7.99702016765771,0.12325310707092285,9.323811554274455,0.05808877944946289,3.4365290723479807,0.05689692497253418,3.4526394621327374,0.04538393020629883,82.88333333333335,0.03149890899658203,10
